Port Number,Service Name,Transport Protocol,Description,Source,System Type
5687,gog-multiplayer,"tcp, udp",GOG multiplayer game protocol,IANA,IT
5688,ggz,"tcp, udp",GGZ Gaming Zone,IANA,IT
5689,qmvideo,"tcp, udp",QM video network management protocol,IANA,IT
5693,rbsystem,"tcp, udp",Robert Bosch Data Transfer,IANA,IT
5696,kmip,"tcp, udp",Key Management Interoperability Protocol,IANA,IT
5700,supportassist,"tcp, udp",Dell SupportAssist data center management,IANA,IT
5705,storageos,"tcp, udp",StorageOS REST API,IANA,IT
5713,proshareaudio,"tcp, udp",proshare conf audio,IANA,IT
5714,prosharevideo,"tcp, udp",proshare conf video,IANA,IT
5715,prosharedata,"tcp, udp",proshare conf data,IANA,IT
5716,prosharerequest,"tcp, udp",proshare conf request,IANA,IT
5717,prosharenotify,"tcp, udp",proshare conf notify,IANA,IT
5718,dpm,"tcp, udp",DPM Communication Server,IANA,IT
5719,dpm-agent,"tcp, udp",DPM Agent Coordinator,IANA,IT
5720,ms-licensing,"tcp, udp",MS-Licensing,IANA,IT
5721,dtpt,"tcp, udp",Desktop Passthru Service,IANA,IT
5722,msdfsr,"tcp, udp",Microsoft DFS Replication Service,IANA,IT
5723,omhs,"tcp, udp",Operations Manager - Health Service,IANA,IT
5724,omsdk,"tcp, udp",Operations Manager - SDK Service,IANA,IT
5725,ms-ilm,"tcp, udp",Microsoft Identity Lifecycle Manager,IANA,IT
5726,ms-ilm-sts,"tcp, udp",Microsoft Lifecycle Manager Secure Token Service,IANA,IT
5727,asgenf,"tcp, udp",ASG Event Notification Framework,IANA,IT
5728,"io-dist-group, io-dist-data","tcp, udp","Dist. I/O Comm. Service Group Membership, Dist. I/O Comm. Service Data and Control",IANA,IT
5729,openmail,"tcp, udp",Openmail User Agent Layer,IANA,IT
5730,unieng,"tcp, udp",Steltor's calendar access,IANA,IT
5741,ida-discover1,"tcp, udp",IDA Discover Port 1,IANA,IT
5742,ida-discover2,"tcp, udp",IDA Discover Port 2,IANA,IT
5743,watchdoc-pod,"tcp, udp",Watchdoc NetPOD Protocol,IANA,IT
5744,watchdoc,"tcp, udp",Watchdoc Server,IANA,IT
5745,fcopy-server,"tcp, udp",fcopy-server,IANA,IT
5746,fcopys-server,"tcp, udp",fcopys-server,IANA,IT
5747,tunatic,"tcp, udp",Wildbits Tunatic,IANA,IT
5748,tunalyzer,"tcp, udp",Wildbits Tunalyzer,IANA,IT
5750,rscd,"tcp, udp",Bladelogic Agent Service,IANA,IT
